Jl. Andi Mappe  Km 54,Pracimantoro,-,MS000410,Kab. Wonogiri,Khusus,Prop. Jawa Tengah,119.5432710,-,Dinas Kebudayaan dan Pariwisata Kabupaten Pangkep,2005,FB214981-DEFF-43D0-97AD-739D19A13C2E,Museum Karst Pangkep /Museum Karst dan Budaya,0,-,0,-,-,-4.8129490,116
Jl. Andi Mappe  Km 54,Pracimantoro,-,MS000410,Kab. Wonogiri,Khusus,Prop. Jawa Tengah,119.5432710,-,Dinas Kebudayaan dan Pariwisata Kabupaten Pangkep,2005,FB214981-DEFF-43D0-97AD-739D19A13C2E,Museum Karst Pangkep /Museum Karst dan Budaya,0,-,0,-,-,-4.8129490,116,Pracimantoro,-8.0415770,0,-,"Kementerian ESDM, Badan Geologi",0,Desa Gebangharjo,-,110.7830260,-,0,Prop. Jawa Tengah,-,0,-,2FDC2AA8-5389-4C36-854A-2EB231B502EF,MS000232,Museum Karts Indonesia,Kab. Wonogiri,-
Khusus,Pracimantoro,Kab. Wonogiri,Prop. Jawa Tengah,-,2005,MS000410,119.5432710,116,-,-,FB214981-DEFF-43D0-97AD-739D19A13C2E,0,-,-4.8129490,0,Museum Karst Pangkep /Museum Karst dan Budaya,Jl. Andi Mappe  Km 54,Dinas Kebudayaan dan Pariwisata Kabupaten Pangkep,-
Khusus,Pracimantoro,Kab. Wonogiri,Prop. Jawa Tengah,-,2005,MS000410,119.5432710,116,-,-,FB214981-DEFF-43D0-97AD-739D19A13C2E,0,-,-4.8129490,0,Museum Karst Pangkep /Museum Karst dan Budaya,Jl. Andi Mappe  Km 54,Dinas Kebudayaan dan Pariwisata Kabupaten Pangkep,-,2FDC2AA8-5389-4C36-854A-2EB231B502EF,MS000232,0,-,0,Museum Karts Indonesia,-8.0415770,110.7830260,0,-,-,-,-,Desa Gebangharjo,0,-,Pracimantoro,Kab. Wonogiri,Prop. Jawa Tengah,"Kementerian ESDM, Badan Geologi"
